circuit_name,category,expected_normal,vae_predicted_normal,vae_confidence,vae_correct,vae_available,vae_message,llm_model,llm_predicted_normal,llm_confidence,llm_correct,llm_available,llm_analysis,vae_time,llm_time,total_time
D Flip-Flop,Sequential - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,gemini,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4538288116455078,0.04617118835449219
Stuck Counter,Sequential - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,gpt-4o,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.4520089626312256,0.047991037368774414
Stuck Counter,Sequential - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,claude,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.4524948596954346,0.04750514030456543
Stuck Counter,Sequential - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,groq,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.4533555507659912,0.04664444923400879
Stuck Counter,Sequential - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,gemini,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.4543075561523438,0.04569244384765625
DFF (stuck output),Sequential - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,gpt-4o,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.452646017074585,0.04735398292541504
DFF (stuck output),Sequential - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,claude,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.4508025646209717,0.04919743537902832
DFF (stuck output),Sequential - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,groq,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.454331398010254,0.045668601989746094
DFF (stuck output),Sequential - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,gemini,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.449815273284912,0.05018472671508789
Half Adder,Arithmetic - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,gpt-4o,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4560964107513428,0.04390358924865723
Half Adder,Arithmetic - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,claude,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4526045322418213,0.04739546775817871
Half Adder,Arithmetic - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,groq,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4463434219360352,0.053656578063964844
Half Adder,Arithmetic - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,gemini,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4511451721191406,0.048854827880859375
Half Adder (no carry),Arithmetic - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,gpt-4o,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.4556069374084473,0.044393062591552734
Half Adder (no carry),Arithmetic - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,claude,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.4519712924957275,0.04802870750427246
Half Adder (no carry),Arithmetic - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,groq,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.4507184028625488,0.04928159713745117
Half Adder (no carry),Arithmetic - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,gemini,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.4536573886871338,0.04634261131286621
